exercise_name,exercise_url,Target,Synergists,Dynamic Stabilizers,Stabilizers,Antagonist Stabilizers,Antagonist      Stabilizers,Dynamic      Stabilizers,Stabilizers (Raised Leg),Stabilizers (Raised Arms),Stabilizers (see comments),Stabilizers (raised leg),Target (see comments),Stabilizers (near arm),Stabilizers (far arm),Synergists (Neck),Synergists / Stabilizers (Spine),Stabilizers (Other),Synergists (Spine),Synergists / Stabilizers (Hips),Target (see comments),Target(See Comments),Synergists (see comments),Target (See Comments),Stabilizers (raised arms),Antagonist Stabilizers (see comment),​​​​​​​Stabilizers,Stabilizers (see comments),Antagonist Stabilizers (see comments)
Dumbbell Incline Lateral Raise,https://exrx.net/WeightExercises/DeltoidLateral/DBInclineLateralRaise,"Deltoid, Lateral","Deltoid, Posterior; Supraspinatus; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations",,"Wrist Extensors; Trapezius, Upper; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Lateral Raise,https://exrx.net/WeightExercises/DeltoidLateral/DBLateralRaise,"Deltoid, Lateral","Deltoid, Anterior; Supraspinatus; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations",,"Trapezius, Upper; Levator Scapulae; Wrist Extensors",,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Lying Lateral Raise,https://exrx.net/WeightExercises/DeltoidLateral/DBLyingLateralRaise,"Deltoid, Lateral","Deltoid, Posterior; Supraspinatus; Trapezius, Middle; Trapezius, Lower; Serratus Anterior,          Inferior Digitations",,"Wrist Extensors; Trapezius, Upper; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Upright Row,https://exrx.net/WeightExercises/DeltoidLateral/DBUprightRow,"Deltoid, Lateral","Deltoid, Anterior; Supraspinatus; Brachialis; Brachioradialis; Biceps Brachii; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations; Infraspinatus; Teres Minor",,"Trapezius, Upper; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell One Arm Upright Row,https://exrx.net/WeightExercises/DeltoidLateral/DBOneArmUprightRow,"Deltoid, Lateral","Deltoid, Anterior; Supraspinatus; Brachialis; Brachioradialis; Biceps Brachii; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations; Infraspinatus; Teres Minor",,"Trapezius, Upper; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Lateral Raise (plate loaded),https://exrx.net/WeightExercises/DeltoidLateral/LVLateralRaiseH,"Deltoid, Lateral","Deltoid, Anterior; Supraspinatus; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations",,"Trapezius, Upper; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Lateral Raise,https://exrx.net/WeightExercises/DeltoidLateral/LVLateralRaise,"Deltoid, Lateral","Deltoid, Anterior; Supraspinatus; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations",,"Trapezius, Upper; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Lateral Raise,https://exrx.net/WeightExercises/DeltoidLateral/LVLateralRaise2,"Deltoid, Lateral","Deltoid, Anterior; Supraspinatus; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations",,"Trapezius, Upper; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Smith Upright Row,https://exrx.net/WeightExercises/DeltoidLateral/SMUprightRow,"Deltoid, Lateral","Deltoid, Anterior; Supraspinatus; Brachialis; Brachioradialis; Biceps Brachii; Trapezius, Middle; Trapezius, Lower; Serratus Anterior,          Inferior Digitations; Infraspinatus; Teres Minor",,"Trapezius, Upper; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Suspended Y Lateral Raise,https://exrx.net/WeightExercises/DeltoidLateral/STYShoulderRaise,"Deltoid, Lateral","Deltoid, Anterior; Supraspinatus; Trapezius, Lower; Trapezius, Middle; Serratus Anterior, Inferior Digitations; Teres Minor; Infraspinatus; Coracobrachialis",,"Erector Spinae; Gluteus Maximus; Hamstrings; Trapezius, Upper; Levator Scapulae; Wrist Extensors",Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,
Barbell Rear Delt Row,https://exrx.net/WeightExercises/DeltoidPosterior/BBRearDeltRow,"Deltoid, Posterior","Infraspinatus; Teres Minor; Deltoid, Lateral; Trapezius, Middle; Trapezius, Lower; Rhomboids; Brachialis; Brachioradialis",Biceps Brachii,Erector Spinae; Hamstrings; Gluteus Maximus; Adductor Magnus; Quadriceps,,,,,,,,,,,,,,,,,,,,,,,,
Cable Rear Delt Row,https://exrx.net/WeightExercises/DeltoidPosterior/CBRearDeltRow,"Deltoid, Posterior","Infraspinatus; Teres Minor; Deltoid, Lateral; Trapezius, Middle; Trapezius, Lower; Rhomboids; Brachialis; Brachioradialis",Biceps Brachii,Erector Spinae; Hamstrings; Gluteus Maximus; Adductor Magnus,,,,,,,,,,,,,,,,,,,,,,,,
Cable Standing Rear Delt Row (with rope),https://exrx.net/WeightExercises/DeltoidPosterior/CBStandingRearDeltRowRope,"Deltoid, Posterior","Infraspinatus; Teres Minor; Deltoid, Lateral; Trapezius, Middle; Trapezius, Lower; Rhomboids; Brachialis; Brachioradialis",Biceps Brachii,Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,,
Cable Isolateral Standing Rear Delt Row,https://exrx.net/WeightExercises/DeltoidPosterior/CBStandingRearDeltRowStirrups,"Deltoid, Posterior","Infraspinatus; Teres Minor; Deltoid, Lateral; Trapezius, Middle; Trapezius, Lower; Rhomboids; Brachialis; Brachioradialis",Biceps Brachii,Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,,
Cable Isolateral Rear Lateral Raise,https://exrx.net/WeightExercises/DeltoidPosterior/CBRearLateralRaise,"Deltoid, Posterior","Deltoid, Lateral; Infraspinatus; Teres Minor; Trapezius, Middle; Trapezius, Lower; Rhomboids",,Triceps Brachii; Wrist Extensors; Erector Spinae; Hamstrings; Gluteus Maximus; Adductor Magnus; Quadriceps,,,,,,,,,,,,,,,,,,,,,,,,
Cable Isolateral Reverse Fly,https://exrx.net/WeightExercises/DeltoidPosterior/CBStandingReverseFly,"Deltoid, Posterior","Deltoid, Lateral; Infraspinatus; Teres Minor; Trapezius, Middle; Trapezius, Lower; Rhomboids",,Triceps Brachii; Wrist Extensors; Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Rear Delt Row,https://exrx.net/WeightExercises/DeltoidPosterior/DBRearDeltRow,"Deltoid, Posterior","Infraspinatus; Teres Minor; Deltoid, Lateral; Trapezius, Middle; Trapezius, Lower; Brachialis; Brachioradialis; Rhomboids",Biceps Brachii,Triceps Brachii (supporting arm); Obliques; Psoas major; Quadratus lumborum; Iliocastalis lumborum; Iliocastalis thoracis,,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Rear Lateral Raise,https://exrx.net/WeightExercises/DeltoidPosterior/DBRearLateralRaise,"Deltoid, Posterior","Infraspinatus; Teres Minor; Deltoid, Lateral; Trapezius, Middle; Trapezius, Lower; Rhomboids",,Triceps Brachii; Wrist Extensors; Erector Spinae; Hamstrings; Gluteus Maximus; Adductor Magnus; Quadriceps,,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Seated Rear Lateral Raise,https://exrx.net/WeightExercises/DeltoidPosterior/DBSeatedRearLateralRaise,"Deltoid, Posterior","Infraspinatus; Teres Minor; Deltoid, Lateral; Trapezius, Middle; Trapezius, Lower; Rhomboids",,Triceps Brachii,,,,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Lying Rear Lateral Raise (plate loaded),https://exrx.net/WeightExercises/DeltoidPosterior/LVLyingRearLateralRaiseH,"Deltoid, Posterior","Infraspinatus; Teres Minor; Trapezius, Middle; Trapezius, Lower; Rhomboids",,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Rear Delt Row (plate loaded),https://exrx.net/WeightExercises/DeltoidPosterior/LVRearDeltRowHammer,"Deltoid, Posterior","Infraspinatus; Teres Minor; Trapezius, Middle; Trapezius, Lower; Rhomboids; Brachialis; Brachioradialis",Biceps Brachii,"Deltoid, Lateral; Supraspinatus",,,,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Rear Delt Row (plate loaded),https://exrx.net/WeightExercises/DeltoidPosterior/LVRearDeltRowC,"Deltoid, Posterior","Infraspinatus; Teres Minor; Trapezius, Middle; Trapezius, Lower; Rhomboids; Brachialis; Brachioradialis",Biceps Brachii,"Deltoid, Lateral",,,,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Lying Rear Lateral Raise,https://exrx.net/WeightExercises/DeltoidPosterior/LVLyingRearLateralRaise,"Deltoid, Posterior","Infraspinatus; Teres Minor; Trapezius, Middle; Trapezius, Lower; Rhomboids",,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Lever Seated Rear Delt Row,https://exrx.net/WeightExercises/DeltoidPosterior/LVRearDeltRow,"Deltoid, Posterior","Infraspinatus; Teres Minor; Trapezius, Middle; Trapezius, Lower; Rhomboids; Brachialis; Brachioradialis; Latissimus Dorsi",Biceps Brachii,"Deltoid, Lateral",,,,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Seated Reverse Fly (parallel grip),https://exrx.net/WeightExercises/DeltoidPosterior/LVRearLateralRaise,"Deltoid, Posterior","Infraspinatus; Teres Minor; Deltoid, Lateral; Trapezius, Middle; Trapezius, Lower; Rhomboids",,Triceps Brachii; Wrist Extensors,,,,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Seated Reverse Fly (pronated parallel grip),https://exrx.net/WeightExercises/DeltoidPosterior/LVReverseFlyPronated,"Deltoid, Posterior","Infraspinatus; Teres Minor; Deltoid, Lateral; Trapezius, Middle; Trapezius, Lower; Rhomboids",,Triceps Brachii; Wrist Extensors,,,,,,,,,,,,,,,,,,,,,,,,
Smith Rear Delt Row,https://exrx.net/WeightExercises/DeltoidPosterior/SMRearDeltRow,"Deltoid, Posterior","Infraspinatus; Teres Minor; Deltoid, Lateral; Trapezius, Middle; Trapezius, Lower; Brachialis; Brachioradialis; Rhomboids",Biceps Brachii,Erector Spinae; Hamstrings; Gluteus Maximus; Adductor Magnus; Quadriceps,,,,,,,,,,,,,,,,,,,,,,,,
Rear Delt Inverted Row (high bar),https://exrx.net/WeightExercises/DeltoidPosterior/BWRearDeltInvertedRowHigh,"Deltoid, Posterior","Infraspinatus; Teres Minor; Trapezius, Middle; Trapezius, Lower; Rhomboids; Brachialis; Brachioradialis",,"Erector Spinae; Hamstrings; Gluteus Maximus; Deltoid, Lateral",,Rectus Abdominis; Obliques,Biceps Brachii,,,,,,,,,,,,,,,,,,,,,
Rear Delt Inverted Row (on hips),https://exrx.net/WeightExercises/DeltoidPosterior/BWRearDeltInvertedRowHips,"Deltoid, Posterior","Infraspinatus; Teres Minor; Trapezius, Middle; Trapezius, Lower; Rhomboids; Brachialis; Brachioradialis",Biceps Brachii,Erector Spinae,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,
Suspended Rear Delt Row,https://exrx.net/WeightExercises/DeltoidPosterior/STRearDeltRow,"Deltoid, Posterior","Infraspinatus; Teres Minor; Trapezius, Middle; Trapezius, Lower; Rhomboids; Brachialis; Brachioradialis",,"Erector Spinae; Hamstrings; Gluteus Maximus; Deltoid, Lateral",,Rectus Abdominis; Obliques,Biceps Brachii,,,,,,,,,,,,,,,,,,,,,
Suspended Reverse Fly,https://exrx.net/WeightExercises/DeltoidPosterior/STReverseFly,"Deltoid, Posterior","Infraspinatus; Teres Minor; Trapezius, Middle; Trapezius, Lower; Rhomboids",,"Erector Spinae; Hamstrings; Gluteus Maximus; Deltoid, Lateral",,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,
Cable Front Lateral Raise,https://exrx.net/WeightExercises/Supraspinatus/CBFrontLateralRaise,Supraspinatus,"Deltoid, Lateral; Deltoid, Anterior; Coracobrachialis; Trapezius, Middle; Trapezius, Lower; Serratus Anterior",,"Trapezius, Upper; Wrist Extensors",,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Front Lateral Raise,https://exrx.net/WeightExercises/Supraspinatus/DBFrontLateralRaise,Supraspinatus,"Deltoid, Lateral; Deltoid, Anterior; Coracobrachialis; Trapezius, Middle; Trapezius, Lower; Serratus Anterior",,"Trapezius, Upper; Wrist Extensors",,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Full Can Lateral Raise,https://exrx.net/WeightExercises/Supraspinatus/DBFullCanLateralRaise,Supraspinatus,"Deltoid, Lateral; Deltoid, Anterior; Coracobrachialis; Trapezius, Middle; Trapezius, Lower; Serratus Anterior",,"Trapezius, Upper; Wrist Extensors",,,,,,,,,,,,,,,,,,,,,,,,
Cable Neck Flexion,https://exrx.net/WeightExercises/Sternocleidomastoid/CBNeckFlx,Sternocleidomastoid,None,,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,,
Lever Neck Flexion (plate loaded),https://exrx.net/WeightExercises/Sternocleidomastoid/LVNeckFlexionH,Sternocleidomastoid,None,,"Latissimus Dorsi; Deltoid, Posterior; Rhomboids; Trapezius, Middle; Trapezius, Lower; Triceps Brachii; Rectus Abdominis; Obliques",,,,,,,,,,,,,,,,,,,,,,,,
Lever Lateral Neck Flexion (plate loaded),https://exrx.net/WeightExercises/Sternocleidomastoid/LVLateralNeckFlexionH,Sternocleidomastoid,,,,,,,,,,,,,,"Splenius; Erector Spinae; Levator Scapulae; Trapezius, Upper",Obliques; Quadratus lumborum; Psoas major; Iliocastalis lumborum; Iliocastalis thoracis,"Latissimus Dorsi; Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Coracobrachialis; Pectoralis Minor",,,,,,,,,,,
Lever Neck Flexion,https://exrx.net/WeightExercises/Sternocleidomastoid/LVNeckFlx,Sternocleidomastoid,None,,"Latissimus Dorsi; Deltoid, Posterior; Rhomboids; Trapezius, Middle; Trapezius, Lower; Triceps Brachii; Rectus Abdominis; Obliques",,,,,,,,,,,,,,,,,,,,,,,,
Lever Lateral Neck Flexion,https://exrx.net/WeightExercises/Sternocleidomastoid/LVNeckLtrFlx,Sternocleidomastoid,,,,,,,,,,,,,,"Splenius; Erector Spinae; Levator Scapulae; Trapezius, Upper",Obliques; Quadratus lumborum; Psoas major; Iliocastalis lumborum; Iliocastalis thoracis,"Latissimus Dorsi; Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Coracobrachialis; Pectoralis Minor",,,,,,,,,,,
Weighted Neck Flexion,https://exrx.net/WeightExercises/Sternocleidomastoid/WtNeckFlx,Sternocleidomastoid,None,,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Lateral Neck Flexion,https://exrx.net/WeightExercises/Sternocleidomastoid/WtNeckLateralFlex,Sternocleidomastoid,"Splenius; Erector Spinae; Levator Scapulae; Trapezius, Upper",,,,,,,,,,,,,,,,,,,,,,,,,,
Wall Front Neck Bridge,https://exrx.net/WeightExercises/Sternocleidomastoid/BWWallFrontNeckBridge,Sternocleidomastoid,"Splenius; Trapezius, Upper; Levator Scapulae; Erector Spinae, Cervicis & Capitis Fibers",,Rectus Abdominis; Obliques; Quadriceps,Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,
Wall Side Neck Bridge,https://exrx.net/WeightExercises/Sternocleidomastoid/BWWallSideNeckBridge,Sternocleidomastoid,,,Gluteus Medius; Gluteus Minimus,,,,,,,,,,,"Splenius; Trapezius, Upper; Levator Scapulae; Erector Spinae, Cervicis & Capitis Fibers",,,Obliques; Quadratus lumborum; Psoas major; Iliocastalis lumborum; Iliocastalis thoracis,,,,,,,,,,
Suspended Neck Flexion,https://exrx.net/WeightExercises/Sternocleidomastoid/STNeckFlexion,Sternocleidomastoid,None,,Rectus Abdominis; Obliques; Quadriceps,Erector Spinae,,,,,,,,,,,,,,,,,,,,,,,
Suspended Lateral Neck Flexion,https://exrx.net/WeightExercises/Sternocleidomastoid/STNeckLateralFlexion,Sternocleidomastoid,,,,,,,,,,,,,,"Splenius; Erector Spinae; Levator Scapulae; Trapezius, Upper",Obliques; Quadratus lumborum; Psoas major; Iliocastalis lumborum; Iliocastalis thoracis,,,Gluteus medius; Gluteus minimus; Tensor fasciae latae,,,,,,,,,
Cable Neck Extension,https://exrx.net/WeightExercises/Splenius/CBNeckExt,Splenius,"Trapezius, Upper; Levator Scapulae; Erector Spinae, Cervicis & Capitis Fibers; Sternocleidomastoid, Posterior Fibers",,"Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Pectoralis Minor; Latissimus Dorsi; Rhomboids; Triceps Brachii; Coracobrachialis",,,,,,,,,,,,,,,,,,,,,,,,
Lever Neck Extension (plate loaded),https://exrx.net/WeightExercises/Splenius/LVNeckExtentionH,Splenius,"Trapezius, Upper; Levator Scapulae; Erector Spinae, Cervicis & Capitis Fibers; Sternocleidomastoid, Posterior Fibers",,"Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Pectoralis Minor; Serratus Anterior; Deltoid, Anterior; Triceps Brachii; Coracobrachialis",,,,,,,,,,,,,,,,,,,,,,,,
Lever Neck Extension,https://exrx.net/WeightExercises/Splenius/LVNeckExt,Splenius,"Trapezius, Upper; Levator Scapulae; Erector Spinae, Cervicis & Capitis Fibers; Sternocleidomastoid, Posterior Fibers",,"Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Pectoralis Minor; Serratus Anterior; Deltoid, Anterior; Triceps Brachii; Coracobrachialis",,,,,,,,,,,,,,,,,,,,,,,,
Weighted Seated Neck Extension,https://exrx.net/WeightExercises/Splenius/WtNeckExt,Splenius,"Trapezius, Upper; Levator Scapulae; Erector Spinae,        Cervicis & Capitis Fibers; Sternocleidomastoid,        Posterior Fibers",,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Neck Harness Extension,https://exrx.net/WeightExercises/Splenius/WtNeckHarnessExt,Splenius,"Trapezius, Upper; Levator Scapulae; Erector Spinae,        Cervicis & Capitis Fibers; Sternocleidomastoid,        Posterior Fibers",,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Band Resistive Neck Retraction,https://exrx.net/WeightExercises/Splenius/BRNeckRetraction,Splenius,,,"Trapezius, Upper; Levator Scapulae; Erector Spinae, Cervicis & Capitis Fibers; Longus capitis; Longus colli; Rectus capitus",,,,,,,,,,,,,,,,,,,,,,,,
Wall Rear Neck Bridge,https://exrx.net/WeightExercises/Splenius/BWWallRearNeckBridge,Splenius,"Trapezius, Upper; Levator Scapulae; Sternocleidomastoid,          Posterior Fibers; Erector Spinae; Quadriceps",,Gluteus Maximus,,,,,,,,,,,,,,,,,,,,,,,,
Lying Neck Retraction Isometric,https://exrx.net/WeightExercises/Splenius/LyingIsometricNeckRetr,Splenius,,,"Trapezius, Upper; Levator Scapulae; Erector Spinae, Cervicis & Capitis Fibers; Longus capitis; Longus colli; Rectus capitus",,,,,,,,,,,,,,,,,,,,,,,,
Suspended Neck Extension,https://exrx.net/WeightExercises/Splenius/STNeckExtension,Splenius,"Trapezius, Upper; Levator Scapulae; Sternocleidomastoid, Posterior Fibers",,Erector Spinae; Gluteus Maximus; Hamstrings,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,
Barbell Standing Leg Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/BBStandingCalfRaise,Gastrocnemius,Soleus,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Cable Belt Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/CBStandingCalfRaise,Gastrocnemius,Soleus,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Cable One Arm Single Leg Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/CBOneArmSingleLegCalfRaise,Gastrocnemius,Soleus,,"Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques",,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Standing Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/DBStandingCalfRaise,Gastrocnemius,Soleus,,"Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Gluteus Medius; Gluteus Minimus",,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Single Leg Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/DBSingleLegCalfRaise,Gastrocnemius,Soleus,,"Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques",,,,,,,,,,,,,,,,,,,,,,,,
Lever 45° Calf Press (plate loaded),https://exrx.net/WeightExercises/Gastrocnemius/LV45CalfPress,Gastrocnemius,Soleus,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Lever Calf Extension (plate loaded),https://exrx.net/WeightExercises/Gastrocnemius/LVSeatedCalfExtensionHammer,Gastrocnemius,Soleus,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Seated Calf Press (plate loaded),https://exrx.net/WeightExercises/Gastrocnemius/LVSeatedCalfPressH,Gastrocnemius,Soleus,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Lever Standing Calf Raise (plate loaded),https://exrx.net/WeightExercises/Gastrocnemius/LVStandingCalfRaisePL,Gastrocnemius,Soleus,,"Trapezius, Upper; Trapezius, Middle; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Lever 45° Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/LV45CalfRaise,Gastrocnemius,Soleus,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Lever Calf Extension,https://exrx.net/WeightExercises/Gastrocnemius/LVSeatedCalfExtension,Gastrocnemius,Soleus,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Lever Donkey Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/LVDonkeyCalfRaise,Gastrocnemius,Soleus,,"Serratus Anterior; Pectoralis Minor; Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Coracobrachialis",,,,,,,,,,,,,,,,,,,,,,,,
Lever Seated Calf Press,https://exrx.net/WeightExercises/Gastrocnemius/LVSeatedCalfPress,Gastrocnemius,Soleus,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Lever Standing Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/LVStandingCalfRaise,Gastrocnemius,Soleus,,"Trapezius, Upper; Trapezius, Middle; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Sled 45° Calf Press,https://exrx.net/WeightExercises/Gastrocnemius/SL45CalfPress,Gastrocnemius,Soleus,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Sled 45° Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/SL45CalfRaise,Gastrocnemius,Soleus,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Sled Donkey Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/SLDonkeyCalfRaise,Gastrocnemius,Soleus,,"Serratus Anterior; Pectoralis Minor; Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Coracobrachialis",,,,,,,,,,,,,,,,,,,,,,,,
Sled Lying Calf Press,https://exrx.net/WeightExercises/Gastrocnemius/SLLyingCalfPress,Gastrocnemius,Soleus,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Sled Seated Calf Press,https://exrx.net/WeightExercises/Gastrocnemius/SLSeatedCalfPress,Gastrocnemius,Soleus,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Sled Standing Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/SLStandingCalfRaise,Gastrocnemius,Soleus,,"Trapezius, Upper; Trapezius, Middle; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Smith Standing Leg Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/SMStandingCalfRaise,Gastrocnemius,Soleus,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Single Leg Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/WTSingleLegCalfRaise,Gastrocnemius,Soleus,,Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques,,,,,,,,,,,,,,,,,,,,,,,,
Standing Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/BWStandingCalfRaise,Gastrocnemius,Soleus,,,,,,,,,,,,,,,,,,,,,,,,,,
Single Leg Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/BWSingleLegCalfRaise,Gastrocnemius,Soleus,,Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques,,,,,,,,,,,,,,,,,,,,,,,,
Self-assisted Single Leg Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/ASSingleLegCalfRaiseSelf,Gastrocnemius,Soleus,,Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques,,,,,,,,,,,,,,,,,,,,,,,,
Suspended Forward Angled Single Leg Calf Raise,https://exrx.net/WeightExercises/Gastrocnemius/STSingleLegForwardAngledCalfRaise,Gastrocnemius,Soleus,,"Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques; Hip External Rotators; Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Pectoralis Minor; Serratus Anterior; Triceps Brachii; Latissimus Dorsi; Teres Major; Rhomboids; Levator Scapulae; Deltoid, Posterior; Coracobrachialis; Rectus Abdominis; Quadriceps; Wrist Flexors",,,,,,,,,,,,,,,,,,,,,,,,
Safety Bar Seated Calf Raise,https://exrx.net/WeightExercises/Soleus/SBSeatedCalfRaise,Soleus,Gastrocnemius,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Lever Seated Calf Raise (plate loaded),https://exrx.net/WeightExercises/Soleus/LVSeatedCalfRaiseH,Soleus,Gastrocnemius,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Lever Seated Calf Raise,https://exrx.net/WeightExercises/Soleus/LVSeatedCalfRaise,Soleus,Gastrocnemius,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Smith Seated Calf Raise,https://exrx.net/WeightExercises/Soleus/SMSeatedCalfRaise,Soleus,Gastrocnemius,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Safety Bar Reverse Calf Raise,https://exrx.net/WeightExercises/TibialisAnterior/SBReverseCalfRaise,Tibialis Anterior,None,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Cable Reverse Calf Raise,https://exrx.net/WeightExercises/TibialisAnterior/CBReverseCalfRaise,Tibialis Anterior,None,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Cable Single Leg Reverse Calf Raise,https://exrx.net/WeightExercises/TibialisAnterior/CBSingleLegReverseCalfRaise,Tibialis Anterior,None,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Reverse Calf Raise,https://exrx.net/WeightExercises/TibialisAnterior/DBReverseCalfRaise,Tibialis Anterior,None,,"Trapezius, Upper; Trapezius, Middle; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Single Leg Reverse Calf Raise,https://exrx.net/WeightExercises/TibialisAnterior/DBSingleLegRevCalfRaise,Tibialis Anterior,None,,"Gluteus Medius; Gluteus Maximus; Trapezius, Upper; Trapezius, Middle; Levator Scapulae",,,,,,,,,,,,,,,,,,,,,,,,
